Model,URL,Year Manufacture,Mileage,Price
,https://auto.bazos.cz/inzerat/202903755/toyota-proace-verso-shuttle-20-d-4d-140-l2-a8.php,1568,106441,690000
,https://auto.bazos.cz/inzerat/202901709/l2-family-8-mist-tazne.php,,,699000
,https://auto.bazos.cz/inzerat/202901584/toyota-c-hr-18-hybrid-selection-e-cvt-54-000km.php,911,54060,445000
,https://auto.bazos.cz/inzerat/202901178/toyota-corolla-sedan-18-i-lpg-2008.php,2023,85000,204604
,https://auto.bazos.cz/inzerat/202900858/toyota-corolla-combi-ts-18-hybrid-e-cvt-comfort.php,1417,74037,468333
,https://auto.bazos.cz/inzerat/202900732/toyota-yaris-gr-rv-2022-zaruka-5let-top-stav.php,2022,160000,661157
,https://auto.bazos.cz/inzerat/202900363/toyota-corolla-cross-18-hybrid-business-packet.php,2024,20968,738561
,https://auto.bazos.cz/inzerat/202898324/toyota-proace-verso-vip-20-d-automat.php,2020,68400,850000
,https://auto.bazos.cz/inzerat/202897901/toyota-celica-20l.php,,160000,79999
,https://auto.bazos.cz/inzerat/202896891/toyota-land-cruiser-120-prado.php,2005,6000,249900
,https://auto.bazos.cz/inzerat/202895511/toyota-avensis.php,2007,373000,45000
,https://auto.bazos.cz/inzerat/202895338/toyota-rav4.php,2005,,130000
,https://auto.bazos.cz/inzerat/202894844/toyota-corolla-hybrid-20-ts.php,2021,48000,580000
,https://auto.bazos.cz/inzerat/202893530/toyota-corolla-20-hev-gr-sport.php,2022,12022,670000
,https://auto.bazos.cz/inzerat/202893178/toyota-land-cruiser-28-d-top-stav.php,2019,83000,1100000
,https://auto.bazos.cz/inzerat/202892990/toyota-avensis-2008-po-prvnim-majiteli-22d-110kw.php,2008,,65000
,https://auto.bazos.cz/inzerat/202892759/toyota-rav4-20-16v-94kw-4x4-dovoz-taliansko.php,1996,259314,99000
,https://auto.bazos.cz/inzerat/202892647/toyota.php,2009,100,90000
,https://auto.bazos.cz/inzerat/202890596/toyota-corolla-18-hybrid-automat-154000-km.php,2021,2021154000,399000
,https://auto.bazos.cz/inzerat/202889671/toyota-yaris-13-64kw-47-963km-1majitel.php,2007,47963,99000
,https://auto.bazos.cz/inzerat/202889613/prodam-toyotu-yaris.php,2002,188124,35000
,https://auto.bazos.cz/inzerat/202889568/toyota-aygo-10i-48kw-stk-rv-2006-cr.php,2006,120000,55000
,https://auto.bazos.cz/inzerat/202888992/toyota-prius.php,2010,158000,230000
,https://auto.bazos.cz/inzerat/202888627/toyota-avensis-combi-20-d-4d-2010-142-000-km.php,2010,2010142000,149000
,https://auto.bazos.cz/inzerat/202888548/toyota-proace-20d-at-8-mist-long-kamera-dph.php,2022,145537,779000
,https://auto.bazos.cz/inzerat/202888419/toyota-rav-4-20-benzin-4x4uzavieka.php,1994,,99500
,https://auto.bazos.cz/inzerat/202888401/toyota-yaris-10.php,,,15000
,https://auto.bazos.cz/inzerat/202888327/toyota-auris16vvt-i-91kw-rv2009.php,2009,222700,82000
,https://auto.bazos.cz/inzerat/202888264/toyota-rav4.php,1996,198000,75000
,https://auto.bazos.cz/inzerat/202553711/toyota-avensis-22-d-cat-2012-1majitel-nove-v-cr.php,5000,100000,85000
,https://auto.bazos.cz/inzerat/202887673/prodam-toyota-aygo-10-50-kw.php,2007,236000,15000
,https://auto.bazos.cz/inzerat/202887208/toyota-yaris.php,2005,,35000
,https://auto.bazos.cz/inzerat/202887131/toyota-prius-18vvt-i-hybrid-novecz1majit.php,2018,115000,389000
,https://auto.bazos.cz/inzerat/202887013/great-wall-cannon-poer-lpg-4x4-automat-nove.php,5603,,949000
,https://auto.bazos.cz/inzerat/202883033/toyota-yaris-10.php,2000,105700,30000
,https://auto.bazos.cz/inzerat/202880704/toyota-verso-16-valvematicnova-stk.php,2009,2009198000,138000
,https://auto.bazos.cz/inzerat/202879416/toyota-yaris-14-tdi.php,2007,172000,33000
,https://auto.bazos.cz/inzerat/202877057/toyota-auris-14-d-4dcr.php,2012,2012239000,88000
